"year","month","sido","signgu","quantity_ton"
2018,6,"경기도","수원시팔달구",400332
2018,6,"경기도","수원시영통구",1542298
2018,6,"경기도","성남시중원구",4866
2018,6,"경기도","성남시분당구",15547
2018,6,"경기도","의정부시",137959
2018,6,"경기도","안양시",47380
2018,6,"경기도","부천시",393718
2018,6,"경기도","평택시",248717
2018,6,"경기도","동두천시",241496
2018,6,"경기도","고양시",14653
2018,6,"경기도","구리시",788727
2018,6,"경기도","남양주시",306629
2018,6,"경기도","오산시",848430
2018,6,"경기도","시흥시",36658
2018,6,"경기도","군포시",194834
2018,6,"경기도","의왕시",752891
2018,6,"경기도","용인시",3503677
2018,6,"경기도","파주시",906293
2018,6,"경기도","이천시",493609
2018,6,"경기도","화성시",2715664
2018,6,"경기도","광주시",82763
2018,6,"경기도","양주시",545108
2018,6,"경기도","포천시",232228
2018,6,"경기도","여주시",146335
2018,7,"경기도","수원시장안구",958631
2018,7,"경기도","수원시권선구",1406776
2018,7,"경기도","수원시팔달구",447309
2018,7,"경기도","수원시영통구",1705700
2018,7,"경기도","성남시중원구",5404
2018,7,"경기도","성남시분당구",17021
2018,7,"경기도","의정부시",131963
2018,7,"경기도","안양시",62858
2018,7,"경기도","부천시",453691
2018,7,"경기도","평택시",285882
2018,7,"경기도","동두천시",271004
2018,7,"경기도","고양시",15656
2018,7,"경기도","구리시",860583
2018,7,"경기도","남양주시",371972
2018,7,"경기도","오산시",951501
2018,7,"경기도","시흥시",47560
2018,7,"경기도","군포시",226776
2018,7,"경기도","의왕시",834328
2018,7,"경기도","용인시",3920418
2018,7,"경기도","파주시",1031154
2018,7,"경기도","이천시",578634
2018,7,"경기도","화성시",3043015
2018,7,"경기도","광주시",19544
2018,7,"경기도","양주시",631747
2018,7,"경기도","포천시",273278
2018,7,"경기도","여주시",176548
2018,8,"경기도","수원시장안구",813660
2018,8,"경기도","수원시권선구",1218396
2018,8,"경기도","수원시팔달구",383741
2018,8,"경기도","수원시영통구",1465056
2018,8,"경기도","성남시중원구",4603
2018,8,"경기도","성남시분당구",14234
2018,8,"경기도","의정부시",132279
2018,8,"경기도","안양시",111832
2018,8,"경기도","부천시",396874
2018,8,"경기도","평택시",245883
2018,8,"경기도","동두천시",233176
2018,8,"경기도","고양시",13420
2018,8,"경기도","구리시",718399
2018,8,"경기도","남양주시",369265
2018,8,"경기도","오산시",816000
2018,8,"경기도","시흥시",43876
2018,8,"경기도","군포시",195146
2018,8,"경기도","의왕시",723944
2018,8,"경기도","용인시",3379593
2018,8,"경기도","파주시",874044
2018,8,"경기도","이천시",509603
2018,8,"경기도","화성시",2623382
2018,8,"경기도","광주시",19634
2018,8,"경기도","양주시",543237
2018,8,"경기도","포천시",233692
2018,8,"경기도","여주시",159353
2018,9,"경기도","수원시장안구",793775
2018,9,"경기도","수원시권선구",1163896
2018,9,"경기도","수원시팔달구",375556
2018,9,"경기도","수원시영통구",1421057
2018,9,"경기도","성남시중원구",4579
2018,9,"경기도","성남시분당구",13862
2018,9,"경기도","의정부시",138604
2018,9,"경기도","안양시",118197
2018,9,"경기도","부천시",399444
2018,9,"경기도","평택시",238489
2018,9,"경기도","동두천시",221765
2018,9,"경기도","고양시",11794
2018,9,"경기도","과천시",0
2018,9,"경기도","구리시",742942
2018,9,"경기도","남양주시",379372
2018,9,"경기도","오산시",789350
2018,9,"경기도","시흥시",44023
2018,9,"경기도","군포시",185467
2018,9,"경기도","의왕시",699519
2018,9,"경기도","용인시",3303986
2018,9,"경기도","파주시",821795
2018,9,"경기도","이천시",484047
2018,9,"경기도","화성시",2510521
2018,9,"경기도","광주시",4781
2018,9,"경기도","양주시",522608
2018,9,"경기도","포천시",225810
2018,9,"경기도","여주시",149650
2018,10,"경기도","수원시장안구",768126
2018,10,"경기도","수원시권선구",1142372
2018,10,"경기도","수원시팔달구",360086
2018,10,"경기도","수원시영통구",1358991
2018,10,"경기도","성남시중원구",4377
2018,10,"경기도","성남시분당구",13611
2018,10,"경기도","의정부시",139688
2018,10,"경기도","안양시",113966
2018,10,"경기도","부천시",400182
2018,10,"경기도","평택시",229268
2018,10,"경기도","동두천시",211588
2018,10,"경기도","고양시",12162
2018,10,"경기도","구리시",775147
2018,10,"경기도","남양주시",369293
2018,10,"경기도","오산시",768316
2018,10,"경기도","시흥시",42957
2018,10,"경기도","군포시",174073
2018,10,"경기도","의왕시",734111
2018,10,"경기도","하남시",54959
2018,10,"경기도","용인시",3224687
2018,10,"경기도","파주시",796873
2018,10,"경기도","이천시",454802
2018,10,"경기도","화성시",2454533
2018,10,"경기도","광주시",3265
2018,10,"경기도","양주시",500728
2018,10,"경기도","포천시",215903
2018,10,"경기도","여주시",143016
2018,11,"경기도","수원시장안구",895084
2018,11,"경기도","수원시권선구",1317854
2018,11,"경기도","수원시팔달구",412044
2018,11,"경기도","수원시영통구",1556824
2018,11,"경기도","성남시중원구",5180
2018,11,"경기도","성남시분당구",15139
2018,11,"경기도","의정부시",158001
2018,11,"경기도","안양시",127908
2018,11,"경기도","부천시",446026
2018,11,"경기도","평택시",268754
2018,11,"경기도","동두천시",232903
2018,11,"경기도","고양시",13115
2018,11,"경기도","과천시",0
2018,11,"경기도","구리시",859735
2018,11,"경기도","남양주시",403412
2018,11,"경기도","오산시",863596
2018,11,"경기도","시흥시",48476
2018,11,"경기도","군포시",198959
2018,11,"경기도","의왕시",837425
2018,11,"경기도","하남시",88498
2018,11,"경기도","용인시",3612167
2018,11,"경기도","파주시",893903
2018,11,"경기도","이천시",515957
2018,11,"경기도","화성시",2810827
2018,11,"경기도","광주시",2717
2018,11,"경기도","양주시",563834
2018,11,"경기도","포천시",239971
2018,11,"경기도","여주시",166001
2018,12,"경기도","수원시장안구",785331
2018,12,"경기도","수원시권선구",1165743
2018,12,"경기도","수원시팔달구",361040
2018,12,"경기도","수원시영통구",1423175
2018,12,"경기도","성남시중원구",4870
2018,12,"경기도","성남시분당구",13911
2018,12,"경기도","의정부시",155375
2018,12,"경기도","안양시",134738
2018,12,"경기도","부천시",427171
2018,12,"경기도","평택시",227649
2018,12,"경기도","동두천시",207892
2018,12,"경기도","고양시",13699
2018,12,"경기도","과천시",1593
2018,12,"경기도","구리시",731161
2018,12,"경기도","남양주시",378040
2018,12,"경기도","오산시",787333
2018,12,"경기도","시흥시",43297
2018,12,"경기도","군포시",175057
2018,12,"경기도","의왕시",671937
2018,12,"경기도","하남시",26122
2018,12,"경기도","용인시",3334908
2018,12,"경기도","파주시",783591
2018,12,"경기도","이천시",452286
2018,12,"경기도","화성시",2591966
2018,12,"경기도","광주시",1362
2018,12,"경기도","양주시",503949
2018,12,"경기도","포천시",203966
2018,12,"경기도","여주시",141026
2019,1,"경기도","수원시장안구",756883
2019,1,"경기도","수원시권선구",1107694
2019,1,"경기도","수원시팔달구",348079
2019,1,"경기도","수원시영통구",1345023
2019,1,"경기도","성남시중원구",10845
2019,1,"경기도","성남시분당구",12743
2019,1,"경기도","의정부시",158454
2019,1,"경기도","안양시",130569
2019,1,"경기도","부천시",463346
2019,1,"경기도","평택시",214513
2019,1,"경기도","동두천시",205298
2019,1,"경기도","고양시",13401
2019,1,"경기도","과천시",5783
2019,1,"경기도","구리시",711126
2019,1,"경기도","남양주시",369293
2019,1,"경기도","오산시",737069
2019,1,"경기도","시흥시",41989
2019,1,"경기도","군포시",164991
2019,1,"경기도","의왕시",677162
2019,1,"경기도","하남시",89941
2019,1,"경기도","용인시",3209125
2019,1,"경기도","파주시",765751
2019,1,"경기도","이천시",439322
2019,1,"경기도","화성시",2441930
2019,1,"경기도","양주시",498481
2019,1,"경기도","포천시",198347
2019,1,"경기도","여주시",135218
2019,2,"경기도","수원시장안구",716941
2019,2,"경기도","수원시권선구",1066912
2019,2,"경기도","수원시팔달구",332170
2019,2,"경기도","수원시영통구",1278949
2019,2,"경기도","성남시중원구",11312
2019,2,"경기도","성남시분당구",12235
2019,2,"경기도","의정부시",162105
2019,2,"경기도","안양시",124857
2019,2,"경기도","부천시",442261
2019,2,"경기도","평택시",213138
2019,2,"경기도","동두천시",206763
2019,2,"경기도","고양시",12880
2019,2,"경기도","과천시",5704
2019,2,"경기도","구리시",703011
2019,2,"경기도","남양주시",366570
2019,2,"경기도","오산시",717508
2019,2,"경기도","시흥시",46400
2019,2,"경기도","군포시",161584
2019,2,"경기도","의왕시",654205
2019,2,"경기도","하남시",92585
2019,2,"경기도","용인시",3043352
2019,2,"경기도","파주시",746131
2019,2,"경기도","이천시",414677
2019,2,"경기도","화성시",2344779
2019,2,"경기도","양주시",503356
2019,2,"경기도","포천시",196880
2019,2,"경기도","여주시",134591
2019,3,"경기도","수원시장안구",717761
2019,3,"경기도","수원시권선구",1077046
2019,3,"경기도","수원시팔달구",331258
2019,3,"경기도","수원시영통구",1298001
2019,3,"경기도","성남시중원구",11077
2019,3,"경기도","성남시분당구",12133
2019,3,"경기도","의정부시",168363
2019,3,"경기도","안양시",131474
2019,3,"경기도","부천시",462754
2019,3,"경기도","평택시",209719
2019,3,"경기도","동두천시",203593
2019,3,"경기도","고양시",13207
2019,3,"경기도","과천시",6015
2019,3,"경기도","구리시",680655
2019,3,"경기도","남양주시",376807
2019,3,"경기도","오산시",713358
2019,3,"경기도","시흥시",50311
2019,3,"경기도","군포시",157725
2019,3,"경기도","의왕시",646107
2019,3,"경기도","하남시",99960
2019,3,"경기도","용인시",3081523
2019,3,"경기도","파주시",747943
2019,3,"경기도","이천시",413361
2019,3,"경기도","화성시",2405669
2019,3,"경기도","양주시",492092
2019,3,"경기도","포천시",195150
2019,3,"경기도","여주시",133299
2019,4,"경기도","수원시장안구",688806
2019,4,"경기도","수원시권선구",1039399
2019,4,"경기도","수원시팔달구",318877
2019,4,"경기도","수원시영통구",1280311
2019,4,"경기도","성남시중원구",10569
2019,4,"경기도","성남시분당구",12300
2019,4,"경기도","의정부시",170423
2019,4,"경기도","안양시",138590
2019,4,"경기도","부천시",453057
2019,4,"경기도","평택시",201959
2019,4,"경기도","동두천시",194918
2019,4,"경기도","고양시",12576
2019,4,"경기도","과천시",5718
2019,4,"경기도","구리시",681497
2019,4,"경기도","남양주시",375950
2019,4,"경기도","오산시",701398
2019,4,"경기도","시흥시",48569
2019,4,"경기도","군포시",154372
2019,4,"경기도","의왕시",629798
2019,4,"경기도","하남시",96909
2019,4,"경기도","용인시",3009227
2019,4,"경기도","파주시",727946
2019,4,"경기도","이천시",396461
2019,4,"경기도","화성시",2357153
2019,4,"경기도","양주시",479226
2019,4,"경기도","포천시",190268
2019,4,"경기도","여주시",127926
2019,5,"경기도","수원시장안구",775292
2019,5,"경기도","수원시권선구",1164945
2019,5,"경기도","수원시팔달구",358230
2019,5,"경기도","수원시영통구",1441189
2019,5,"경기도","성남시중원구",11592
2019,5,"경기도","성남시분당구",13453
2019,5,"경기도","의정부시",199351
2019,5,"경기도","안양시",166079
2019,5,"경기도","부천시",517140
2019,5,"경기도","평택시",225269
2019,5,"경기도","동두천시",219828
2019,5,"경기도","고양시",13968
2019,5,"경기도","과천시",6851
2019,5,"경기도","구리시",751717
2019,5,"경기도","남양주시",439703
2019,5,"경기도","오산시",789454
2019,5,"경기도","시흥시",55660
2019,5,"경기도","군포시",174079
2019,5,"경기도","의왕시",730196
2019,5,"경기도","하남시",104422
2019,5,"경기도","용인시",3406145
2019,5,"경기도","파주시",815541
2019,5,"경기도","이천시",444920
2019,5,"경기도","화성시",2676797
2019,5,"경기도","양주시",548586
2019,5,"경기도","포천시",217848
2019,5,"경기도","여주시",145919
2019,6,"경기도","수원시장안구",831329
2019,6,"경기도","수원시권선구",1248940
2019,6,"경기도","수원시팔달구",384073
